crn,subject,title,course_num,credits,section,campus,days,start_dates,end_dates,times,linked
90905,PUBH,"Substance Use Health and Wellbeing Certificate Capstone",885,1.5,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1300 - 1550'",""
90911,PUBH,"Substance Use Health and Wellbeing Certificate Capstone",885,1.5,W01,"Off-campus Site","'Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1300 - 1550'",""
91367,PUBH,"Social Justice &amp; Health Equity",898,3,06," USask - Main Saskatoon Campus","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
91368,PUBH,"Social Justice &amp; Health Equity",898,3,W06," USask - Main Saskatoon Campus","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
83129,PUBH,"Public Health Seminar",990,0.01,01," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1200 - 1320'",""
87624,PUBH,"Public Health Seminar",990,0.01,WO1,"Off-campus Site","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1200 - 1320'",""
91132,RLST,"Asian Religions",111,3,WS1,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
88113,RLST,"Western Religions in Society and Culture",112,3,WS1,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
89901,RLST,"Religions in Canada",200,3,61," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1030 - 1120'",""
80397,RLST,"Perspectives on Jesus",225,3,61," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
87321,RLST,"Islam in Hollywood",243,3,61," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1520'",""
91797,RLST,"Introduction to Philippine Religion and Culture",261,3,61," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1420'",""
80400,RLST,"Methodologies and Approaches to Study of Religions",280,3,61," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
81328,RLST,"Religious Perspectives on Death and Dying",282,3,61," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1220'",""
88115,RLST,"Bible and Film",365,3,61," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1420'",""
83665,RLST,"Seminar",990,0.01,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
81397,RLST,"Research &ndash; Thesis",994,15,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
84406,RRM,"Field Course in Renewable Resource Management",301,9,02," USask - Main Saskatoon Campus","'Monday,Tuesday,Wednesday,Thursday,Friday', ''","'25-Aug-2025', '13-Sep-2025'","'12-Sep-2025', '05-Dec-2025'","'0800 - 1700', 'None - None'",""
85977,RRM,"Agricultural and Environmental Geomatics",398,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1230 - 1320'","91494,91493"
91493,RRM,"Agricultural and Environmental Geomatics",398,0,L01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1720'","85977"
91494,RRM,"Agricultural and Environmental Geomatics",398,0,L02," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1720'","85977"
83004,RRM,"Applied Resource and Environmental Management Project",421,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1720'",""
88967,RCM,"Effective Professional Communication",200,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1520'",""
88968,RCM,"Effective Professional Communication",200,3,03," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1220'",""
88969,RCM,"Effective Professional Communication",200,3,05," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1030 - 1120'",""
88970,RCM,"Effective Professional Communication",200,3,07," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1220'",""
88971,RCM,"Effective Professional Communication",200,3,09," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1420'",""
88972,RCM,"Effective Professional Communication",200,3,11," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'0830 - 0950'",""
88974,RCM,"Effective Professional Communication",200,3,15," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1230 - 1320'",""
88975,RCM,"Effective Professional Communication",200,3,17," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
88976,RCM,"Effective Professional Communication",200,3,19," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
88977,RCM,"Effective Professional Communication",200,3,21," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
81884,RCM,"Rhetorical Theory and Practice of Persuasion",400,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
